username|next_player|degree
azzaro25|hikaru|1
sviridov_valery|hikaru|1
gena217|hikaru|1
justicebot|hikaru|1
fluxv|hikaru|1
blackmind96|hikaru|1
twofoxniel|hikaru|1
chessmeister8745|hikaru|1
iran_chess_trainer|hikaru|1
pouraghabala_amirreza|hikaru|1
chessworldking|hikaru|1
anishgiri|hikaru|1
gmneiksans|hikaru|1
antonsmirnov|hikaru|1
matsenkosergey|hikaru|1
levonaronian|hikaru|1
gmsrinath|hikaru|1
temiksmozg|hikaru|1
sibelephant|hikaru|1
macko06|hikaru|1
scyllacharybdis43|hikaru|1
zanyglobal|hikaru|1
rozum_ivan|hikaru|1
annawel|hikaru|1
gen-gutman|hikaru|1
megagigahiper3345|hikaru|1
mwpchess|hikaru|1
nesterovsky|hikaru|1
dogmanstar94|hikaru|1
vartemiev|hikaru|1
dzhumagaliev|hikaru|1
mr_heisenberg13|hikaru|1
jospem|hikaru|1
fingolfil|hikaru|1
davidkalashian|hikaru|1
megarompa|hikaru|1
stoleriu|hikaru|1
keranke|hikaru|1
crescentmoon2411|hikaru|1
bulolo|hikaru|1
robin-side|hikaru|1
infernal_xam|hikaru|1
a-fier|hikaru|1
abasovn|hikaru|1
knightmare82|hikaru|1
galperinplaton|hikaru|1
yavrukurt40|hikaru|1
sina_movahed|hikaru|1
shtembuliak|hikaru|1
nowaybacksasha|hikaru|1
tanitoluwaaps116|hikaru|1
leonid_starozhilov|hikaru|1
vugarrasulov|hikaru|1
fightermann|hikaru|1
matetricks|hikaru|1
kappa_king|hikaru|1
liczner|hikaru|1
pedro_gines|hikaru|1
jefferyx|hikaru|1
abund|hikaru|1
arash_tahbaz|hikaru|1
denis_makhnyov|hikaru|1
lachesisq|hikaru|1
njal28|hikaru|1
funo09|hikaru|1
kobalia|hikaru|1
proxy6|hikaru|1
ludwigvanbendover|hikaru|1
dhaydon19|hikaru|1
tmtor|hikaru|1
fritzischach_twitch|hikaru|1
nodariousbig|hikaru|1
chessajedrezz2020|hikaru|1
daro94|hikaru|1
anon6121824|hikaru|1
gm_aag|hikaru|1
xaola|hikaru|1
tomskantans|hikaru|1
arseniy_nesterov|hikaru|1
mazetofonias|hikaru|1
kozok|hikaru|1
sergiochess83|hikaru|1
gkchesstiger|hikaru|1
siciliannaga|hikaru|1
rasmussvane|hikaru|1
bilan_danila|hikaru|1
chessintuit|hikaru|1
nemequittepas|hikaru|1
ram1zan|hikaru|1
chesscoachandras|hikaru|1
khazarbabazada|hikaru|1
resentiment18|hikaru|1
quintilianor|hikaru|1
spectralsoul|hikaru|1
tnkhanh|hikaru|1
resha1988|hikaru|1
gigaquparadze|hikaru|1
snowlord|hikaru|1
playpositional|hikaru|1
kingcyber19|hikaru|1
xamax2000|hikaru|1
beca95|hikaru|1
shimastream|hikaru|1
magnuscarlsen|hikaru|1
masmos97|hikaru|1
nijat_a|hikaru|1
jcibarra|hikaru|1
hanscoolniemann|hikaru|1
imtominho|hikaru|1
genghis_k|hikaru|1
xxysoul6|hikaru|1
arrru7|hikaru|1
rlrja|hikaru|1
petrpalachev|hikaru|1
adam657|hikaru|1
gmjoey1|hikaru|1
mischuk_d|hikaru|1
nikola_stojsin|hikaru|1
chess_for_enjoy|hikaru|1
nrvisakh|hikaru|1
muradore|hikaru|1
miterryble|hikaru|1
vincentkeymer|hikaru|1
robertojbm|hikaru|1
drtancredi|hikaru|1
alexsur1981|hikaru|1
vovachesss|hikaru|1
idontknowchess75|hikaru|1
floatypotato|hikaru|1
thesilmarils|hikaru|1
hardingstoptry|hikaru|1
dreamist|hikaru|1
byniolus|hikaru|1
wonderboy05|hikaru|1
mikhaillushenkov|hikaru|1
zapatacharless|hikaru|1
federicosellitti|hikaru|1
hansen|hikaru|1
igorkovalenko|hikaru|1
viiiagra|hikaru|1
tal-baronfew|hikaru|1
vladimirdamjanovic|hikaru|1
the_chess_coach|hikaru|1
exoticprincess|hikaru|1
samolo|hikaru|1
rodalquilar|hikaru|1
stollenmonster|hikaru|1
nubair1198|hikaru|1
eltaj_safarli|hikaru|1
bilodeaua|hikaru|1
cicraj|hikaru|1
marcoriehle|hikaru|1
anon102030|hikaru|1
vovanchik0991|hikaru|1
kouzari|hikaru|1
saracinderim|hikaru|1
vertetics-attila|hikaru|1
blindraw|hikaru|1
angry_twin|hikaru|1
kuli4ik|hikaru|1
vadiov|hikaru|1
hrant_chessmood|hikaru|1
galileo22|hikaru|1
grunbergmihai|hikaru|1
mardakerxxx|hikaru|1
roelandpruijssers|hikaru|1
chessweebs|hikaru|1
mikhail_bryakin|hikaru|1
captaincasanova|hikaru|1
dyadya81|hikaru|1
durarbayli|hikaru|1
anthonywirig|hikaru|1
tobi-wan-kenobi|hikaru|1
arjunerigaisi2003|hikaru|1
penguingm1|hikaru|1
rhinobritos|hikaru|1
