username|next_player|degree
ohanyaneminchess|hikaru|1
nikavolkov|hikaru|1
mvm2008|hikaru|1
louisgreene|hikaru|1
arysya|hikaru|1
littlepeasant|hikaru|1
dragonb70|hikaru|1
wonderfultime|hikaru|1
georgmeier|hikaru|1
eltaj_safarli|hikaru|1
artooon|hikaru|1
zhigalko_sergei|hikaru|1
firouzja2003|hikaru|1
gmkrikor|hikaru|1
kiborg1987|hikaru|1
garcho08|hikaru|1
valodia222|hikaru|1
the_bird_of_peace|hikaru|1
severomorskij|hikaru|1
tltltltltltl|hikaru|1
amintabatabaei|hikaru|1
penguingm1|hikaru|1
matthewg-p4p|hikaru|1
gulamalirises|hikaru|1
whatbecause|hikaru|1
spectralsoul|hikaru|1
masterleif|hikaru|1
termenoil|hikaru|1
ram1zan|hikaru|1
alqudaimi|hikaru|1
12teen|hikaru|1
rikikits|hikaru|1
kamran_madani|hikaru|1
lastreetcmamaison|hikaru|1
compaqmv19|hikaru|1
dhaydon19|hikaru|1
pkilz5rn9b|hikaru|1
mf_oresteshurtado|hikaru|1
lordillidan|hikaru|1
damianolew95|hikaru|1
lachesisq|hikaru|1
rezamahdavi2008|hikaru|1
doudou_goodspeed|hikaru|1
baku_boulevard|hikaru|1
blazinq|hikaru|1
levonaronian|hikaru|1
knvb|hikaru|1
fadedbrain|hikaru|1
blitzstream|hikaru|1
0gzpanda|hikaru|1
yaacovn|hikaru|1
rightarmoftheforbiddenone|hikaru|1
vladdobrov|hikaru|1
karinachess1|hikaru|1
gravity_chess|hikaru|1
manubibi|hikaru|1
rednova1729|hikaru|1
vellottiwizard|hikaru|1
ckgchess|hikaru|1
gmwesley_so|hikaru|1
psvidler|hikaru|1
schoolmeester|hikaru|1
exoticprincess|hikaru|1
bahadirozen|hikaru|1
daeneryst|hikaru|1
minhgtran|hikaru|1
chefshouse|hikaru|1
justicebot|hikaru|1
dannynarogreanu|hikaru|1
mykola-bortnyk|hikaru|1
talentzeker|hikaru|1
gm_barcenilla|hikaru|1
jcibarra|hikaru|1
duhless|hikaru|1
bigfish1995|hikaru|1
magnuscarlsen|hikaru|1
platy3|hikaru|1
brandonjacobson|hikaru|1
amirsose|hikaru|1
trimitziosp7|hikaru|1
jsprepz|hikaru|1
gmharikrishna|hikaru|1
fandorine|hikaru|1
kostyakornienko|hikaru|1
mishanick|hikaru|1
joppie2|hikaru|1
eilyisum|hikaru|1
chesstrener|hikaru|1
ameetghasi1|hikaru|1
noukii|hikaru|1
1random|hikaru|1
davit_tiraturyan|hikaru|1
andreikka|hikaru|1
notyetfinish|hikaru|1
parhamov|hikaru|1
slavenov|hikaru|1
hansen|hikaru|1
christopheryoo|hikaru|1
jospem|hikaru|1
ntbt_dhs|hikaru|1
onizuka96|hikaru|1
viiiagra|hikaru|1
sibelephant|hikaru|1
dsquared97|hikaru|1
boryboy|hikaru|1
shant_sargsyan|hikaru|1
sergiochess83|hikaru|1
genghis_k|hikaru|1
lukianoo|hikaru|1
pchelkinvk|hikaru|1
sanan_sjugirov|hikaru|1
frolik67|hikaru|1
amaterasu95|hikaru|1
blackmind96|hikaru|1
khalilmousavi77|hikaru|1
ghandeevam2003|hikaru|1
lyonbeast|hikaru|1
g0dhimself|hikaru|1
dropstonedp|hikaru|1
clevercrab|hikaru|1
yavrukurt40|hikaru|1
super_fm|hikaru|1
bryakin_mikhail|hikaru|1
gmhess|hikaru|1
polish_fighter3000|hikaru|1
divertissement|hikaru|1
swedshalom|hikaru|1
sophiste2|hikaru|1
nouki|hikaru|1
miterryble|hikaru|1
pelingorki|hikaru|1
b10_muy_bien|hikaru|1
m0rpheus85|hikaru|1
fabianocaruana|hikaru|1
nikotheodorou|hikaru|1
asms9699|hikaru|1
elm2007|hikaru|1
anon6121824|hikaru|1
azerichess|hikaru|1
danielnaroditsky|hikaru|1
wildoo|hikaru|1
denizozen|hikaru|1
exceptionallydubious|hikaru|1
drtancredi|hikaru|1
keranke|hikaru|1
salem-ar|hikaru|1
jefferyx|hikaru|1
fairchess_on_youtube|hikaru|1
danielrensch|hikaru|1
indianlad|hikaru|1
gmwso|hikaru|1
wish_i_was_a_gm|hikaru|1
sergeykarjakin|hikaru|1
gmjlh|hikaru|1
averagerecord|hikaru|1
jlandaw|hikaru|1
kleinebeer98|hikaru|1
samayraina|hikaru|1
uzbektiger95|hikaru|1
tonychess32|hikaru|1
chessbrah|hikaru|1
oleksandr_bortnyk|hikaru|1
7madman|hikaru|1
foehammer|hikaru|1
msb2|hikaru|1
traxx|hikaru|1
byniolus|hikaru|1
micki-taryan|hikaru|1
manudavid2910|hikaru|1
ritual2003|hikaru|1
nihalsarin|hikaru|1
drvelja|hikaru|1
artooooo|hikaru|1
removsky|hikaru|1
hansontwitch|hikaru|1
vi_pranav|hikaru|1
kuli4ik|hikaru|1
grischuk|hikaru|1
