username,next_player,degree
Onizuka96,Hikaru,1
Bigfish1995,Hikaru,1
KNVB,Hikaru,1
lachesisQ,Hikaru,1
penguingm1,Hikaru,1
gmwesley_so,Hikaru,1
ckgchess,Hikaru,1
NTBT_DHS,Hikaru,1
Nouki,Hikaru,1
mishanick,Hikaru,1
7Madman,Hikaru,1
Multivitamin73,Hikaru,1
samayraina,Hikaru,1
TLTLTLTLTLTL,Hikaru,1
Eilyisum,Hikaru,1
schoolmeester,Hikaru,1
manubibi,Hikaru,1
severomorskij,Hikaru,1
Keranke,Hikaru,1
CleverCrab,Hikaru,1
DannyNarogreanu,Hikaru,1
Grischuk,Hikaru,1
BrandonJacobson,Hikaru,1
platy3,Hikaru,1
Salem-AR,Hikaru,1
Noukii,Hikaru,1
FabianoCaruana,Hikaru,1
G0dHimself,Hikaru,1
Sanan_Sjugirov,Hikaru,1
jlandaw,Hikaru,1
alqudaimi,Hikaru,1
Byniolus,Hikaru,1
joppie2,Hikaru,1
KhazarBabazada007,Hikaru,1
LittlePeasant,Hikaru,1
HansOnTwitch,Hikaru,1
Dhaydon19,Hikaru,1
Sibelephant,Hikaru,1
MasterLeif,Hikaru,1
SuPeR_Fm,Hikaru,1
MITerryble,Hikaru,1
Doudou_goodspeed,Hikaru,1
jefferyx,Hikaru,1
ExceptionallyDubious,Hikaru,1
slavenov,Hikaru,1
NikoTheodorou,Hikaru,1
asms9699,Hikaru,1
Termenoil,Hikaru,1
The_bird_of_peace,Hikaru,1
whatbecause,Hikaru,1
FadedBrain,Hikaru,1
GMWSO,Hikaru,1
DaenerysT,Hikaru,1
wonderfultime,Hikaru,1
Boryboy,Hikaru,1
pKiLz5Rn9b,Hikaru,1
FairChess_on_YouTube,Hikaru,1
ram1zan,Hikaru,1
DanielNaroditsky,Hikaru,1
yavrukurt40,Hikaru,1
GeorgMeier,Hikaru,1
DrVelja,Hikaru,1
Rikikits,Hikaru,1
Indianlad,Hikaru,1
Chefshouse,Hikaru,1
GMKrikor,Hikaru,1
Davit_Tiraturyan,Hikaru,1
1random,Hikaru,1
ChessBrah,Hikaru,1
erichansen,Hikaru,1
Artooooo,Hikaru,1
WISH_I_WAS_A_GM,Hikaru,1
vellottiwizard,Hikaru,1
LouisGreene,Hikaru,1
ChessTrener,Hikaru,1
gmjlh,Hikaru,1
kiborg1987,Hikaru,1
valodia222,Hikaru,1
Genghis_K,Hikaru,1
sergiochess83,Hikaru,1
Lukianoo,Hikaru,1
Foehammer,Hikaru,1
LaStreetCmaMaison,Hikaru,1
Firouzja2003,Hikaru,1
Lordillidan,Hikaru,1
AmeetGhasi1,Hikaru,1
LevonAronian,Hikaru,1
DragonB70,Hikaru,1
Sophiste2,Hikaru,1
garcho08,Hikaru,1
Shant_Sargsyan,Hikaru,1
Parhamov,Hikaru,1
GothamChess,Hikaru,1
kamran_madani,Hikaru,1
removsky,Hikaru,1
wildoo,Hikaru,1
amirsose,Hikaru,1
Frolik67,Hikaru,1
SergeyKarjakin,Hikaru,1
Jospem,Hikaru,1
B10_Muy_Bien,Hikaru,1
Bryakin_Mikhail,Hikaru,1
KhalilMousavi77,Hikaru,1
elm2007,Hikaru,1
kleinebeer98,Hikaru,1
12teen,Hikaru,1
amintabatabaei,Hikaru,1
M0rpheus85,Hikaru,1
Blackmind96,Hikaru,1
GM_Barcenilla,Hikaru,1
AverageRecord,Hikaru,1
swedshalom,Hikaru,1
DrTancredi,Hikaru,1
uzbektiger95,Hikaru,1
GMharikrishna,Hikaru,1
MatthewG-p4p,Hikaru,1
Blitzstream,Hikaru,1
compaqmv19,Hikaru,1
MinhGTrAn,Hikaru,1
BahadirOzen,Hikaru,1
Duhless,Hikaru,1
VladDobrov,Hikaru,1
JusticeBot,Hikaru,1
GulamaliRises,Hikaru,1
Andreikka,Hikaru,1
JSPrepz,Hikaru,1
MF_OrestesHurtado,Hikaru,1
dsquared97,Hikaru,1
Oleksandr_Bortnyk,Hikaru,1
MagnusCarlsen,Hikaru,1
nihalsarin,Hikaru,1
Divertissement,Hikaru,1
ManuDavid2910,Hikaru,1
GMHess,Hikaru,1
DanielRensch,Hikaru,1
OhanyanEminChess,Hikaru,1
Zhigalko_Sergei,Hikaru,1
Polish_fighter3000,Hikaru,1
Micki-taryan,Hikaru,1
denizozen,Hikaru,1
Yaacovn,Hikaru,1
talentzeker,Hikaru,1
Mykola-Bortnyk,Hikaru,1
Amaterasu95,Hikaru,1
PSvidler,Hikaru,1
Traxx,Hikaru,1
spectralsoul,Hikaru,1
GHANDEEVAM2003,Hikaru,1
ViIIagra,Hikaru,1
Blazinq,Hikaru,1
TrimitziosP7,Hikaru,1
LyonBeast,Hikaru,1
Onizuka96,Hikaru,2
Bigfish1995,Hikaru,2
KNVB,Hikaru,2
lachesisQ,Hikaru,2
penguingm1,Hikaru,2
gmwesley_so,Hikaru,2
ckgchess,Hikaru,2
NTBT_DHS,Hikaru,2
Nouki,Hikaru,2
mishanick,Hikaru,2
7Madman,Hikaru,2
Multivitamin73,Hikaru,2
samayraina,Hikaru,2
TLTLTLTLTLTL,Hikaru,2
Eilyisum,Hikaru,2
schoolmeester,Hikaru,2
manubibi,Hikaru,2
severomorskij,Hikaru,2
Keranke,Hikaru,2
CleverCrab,Hikaru,2
DannyNarogreanu,Hikaru,2
Grischuk,Hikaru,2
BrandonJacobson,Hikaru,2
platy3,Hikaru,2
Salem-AR,Hikaru,2
Noukii,Hikaru,2
FabianoCaruana,Hikaru,2
G0dHimself,Hikaru,2
Sanan_Sjugirov,Hikaru,2
jlandaw,Hikaru,2
alqudaimi,Hikaru,2
Byniolus,Hikaru,2
joppie2,Hikaru,2
KhazarBabazada007,Hikaru,2
LittlePeasant,Hikaru,2
HansOnTwitch,Hikaru,2
Dhaydon19,Hikaru,2
Sibelephant,Hikaru,2
MasterLeif,Hikaru,2
SuPeR_Fm,Hikaru,2
MITerryble,Hikaru,2
Doudou_goodspeed,Hikaru,2
jefferyx,Hikaru,2
ExceptionallyDubious,Hikaru,2
slavenov,Hikaru,2
NikoTheodorou,Hikaru,2
asms9699,Hikaru,2
Termenoil,Hikaru,2
The_bird_of_peace,Hikaru,2
whatbecause,Hikaru,2
FadedBrain,Hikaru,2
GMWSO,Hikaru,2
DaenerysT,Hikaru,2
wonderfultime,Hikaru,2
Boryboy,Hikaru,2
pKiLz5Rn9b,Hikaru,2
FairChess_on_YouTube,Hikaru,2
ram1zan,Hikaru,2
DanielNaroditsky,Hikaru,2
yavrukurt40,Hikaru,2
GeorgMeier,Hikaru,2
DrVelja,Hikaru,2
Rikikits,Hikaru,2
Indianlad,Hikaru,2
Chefshouse,Hikaru,2
GMKrikor,Hikaru,2
Davit_Tiraturyan,Hikaru,2
1random,Hikaru,2
ChessBrah,Hikaru,2
erichansen,Hikaru,2
Artooooo,Hikaru,2
WISH_I_WAS_A_GM,Hikaru,2
vellottiwizard,Hikaru,2
LouisGreene,Hikaru,2
ChessTrener,Hikaru,2
gmjlh,Hikaru,2
kiborg1987,Hikaru,2
valodia222,Hikaru,2
Genghis_K,Hikaru,2
sergiochess83,Hikaru,2
Lukianoo,Hikaru,2
Foehammer,Hikaru,2
LaStreetCmaMaison,Hikaru,2
Firouzja2003,Hikaru,2
Lordillidan,Hikaru,2
AmeetGhasi1,Hikaru,2
LevonAronian,Hikaru,2
DragonB70,Hikaru,2
Sophiste2,Hikaru,2
garcho08,Hikaru,2
Shant_Sargsyan,Hikaru,2
Parhamov,Hikaru,2
GothamChess,Hikaru,2
kamran_madani,Hikaru,2
removsky,Hikaru,2
wildoo,Hikaru,2
amirsose,Hikaru,2
Frolik67,Hikaru,2
SergeyKarjakin,Hikaru,2
Jospem,Hikaru,2
B10_Muy_Bien,Hikaru,2
Bryakin_Mikhail,Hikaru,2
KhalilMousavi77,Hikaru,2
elm2007,Hikaru,2
kleinebeer98,Hikaru,2
12teen,Hikaru,2
amintabatabaei,Hikaru,2
M0rpheus85,Hikaru,2
Blackmind96,Hikaru,2
GM_Barcenilla,Hikaru,2
AverageRecord,Hikaru,2
swedshalom,Hikaru,2
DrTancredi,Hikaru,2
uzbektiger95,Hikaru,2
GMharikrishna,Hikaru,2
MatthewG-p4p,Hikaru,2
Blitzstream,Hikaru,2
compaqmv19,Hikaru,2
MinhGTrAn,Hikaru,2
BahadirOzen,Hikaru,2
Duhless,Hikaru,2
VladDobrov,Hikaru,2
JusticeBot,Hikaru,2
GulamaliRises,Hikaru,2
Andreikka,Hikaru,2
JSPrepz,Hikaru,2
MF_OrestesHurtado,Hikaru,2
dsquared97,Hikaru,2
Oleksandr_Bortnyk,Hikaru,2
MagnusCarlsen,Hikaru,2
nihalsarin,Hikaru,2
Divertissement,Hikaru,2
ManuDavid2910,Hikaru,2
GMHess,Hikaru,2
DanielRensch,Hikaru,2
OhanyanEminChess,Hikaru,2
Zhigalko_Sergei,Hikaru,2
Polish_fighter3000,Hikaru,2
Micki-taryan,Hikaru,2
denizozen,Hikaru,2
Yaacovn,Hikaru,2
talentzeker,Hikaru,2
Mykola-Bortnyk,Hikaru,2
Amaterasu95,Hikaru,2
PSvidler,Hikaru,2
Traxx,Hikaru,2
spectralsoul,Hikaru,2
GHANDEEVAM2003,Hikaru,2
ViIIagra,Hikaru,2
Blazinq,Hikaru,2
TrimitziosP7,Hikaru,2
LyonBeast,Hikaru,2
megaranto87,Onizuka96,2
Gomatte,Onizuka96,2
Suryaputr,Onizuka96,2
oskariot,Onizuka96,2
vovachesss,Onizuka96,2
aleks45,Onizuka96,2
Zeroedge,Onizuka96,2
LornerAcosta,Onizuka96,2
knightking2002,Onizuka96,2
georgii308,Onizuka96,2
Pafynka,Onizuka96,2
NTBT_DHS,Onizuka96,2
Sammed_Shete,Onizuka96,2
pultineviciuspaulius,Onizuka96,2
thegreendog,Onizuka96,2
danir29,Onizuka96,2
LiYankai,Onizuka96,2
