username,next_player,degree
MITerryble,Hikaru,0
KNVB,Hikaru,0
Andreikka,Hikaru,0
wildoo,Hikaru,0
Shant_Sargsyan,Hikaru,0
Yaacovn,Hikaru,0
AmeetGhasi1,Hikaru,0
amirsose,Hikaru,0
Foehammer,Hikaru,0
BrandonJacobson,Hikaru,0
HansOnTwitch,Hikaru,0
Lordillidan,Hikaru,0
VladDobrov,Hikaru,0
GMHess,Hikaru,0
Grischuk,Hikaru,0
GothamChess,Hikaru,0
Amaterasu95,Hikaru,0
garcho08,Hikaru,0
Sophiste2,Hikaru,0
Frolik67,Hikaru,0
Chefshouse,Hikaru,0
PSvidler,Hikaru,0
12teen,Hikaru,0
JusticeBot,Hikaru,0
Duhless,Hikaru,0
ExceptionallyDubious,Hikaru,0
yavrukurt40,Hikaru,0
kamran_madani,Hikaru,0
gmwesley_so,Hikaru,0
ChessTrener,Hikaru,0
Jospem,Hikaru,0
Onizuka96,Hikaru,0
wonderfultime,Hikaru,0
Noukii,Hikaru,0
LittlePeasant,Hikaru,0
Blackmind96,Hikaru,0
spectralsoul,Hikaru,0
Sibelephant,Hikaru,0
Keranke,Hikaru,0
BahadirOzen,Hikaru,0
denizozen,Hikaru,0
Termenoil,Hikaru,0
ManuDavid2910,Hikaru,0
pKiLz5Rn9b,Hikaru,0
LaStreetCmaMaison,Hikaru,0
Divertissement,Hikaru,0
jlandaw,Hikaru,0
Artooooo,Hikaru,0
DanielNaroditsky,Hikaru,0
Firouzja2003,Hikaru,0
Byniolus,Hikaru,0
Nouki,Hikaru,0
MagnusCarlsen,Hikaru,0
Bigfish1995,Hikaru,0
compaqmv19,Hikaru,0
slavenov,Hikaru,0
SergeyKarjakin,Hikaru,0
DannyNarogreanu,Hikaru,0
1random,Hikaru,0
platy3,Hikaru,0
M0rpheus85,Hikaru,0
gmjlh,Hikaru,0
swedshalom,Hikaru,0
GM_Barcenilla,Hikaru,0
LyonBeast,Hikaru,0
GulamaliRises,Hikaru,0
penguingm1,Hikaru,0
LevonAronian,Hikaru,0
Davit_Tiraturyan,Hikaru,0
uzbektiger95,Hikaru,0
Micki-taryan,Hikaru,0
joppie2,Hikaru,0
7Madman,Hikaru,0
Salem-AR,Hikaru,0
AverageRecord,Hikaru,0
Blitzstream,Hikaru,0
FadedBrain,Hikaru,0
DaenerysT,Hikaru,0
WISH_I_WAS_A_GM,Hikaru,0
Dhaydon19,Hikaru,0
vellottiwizard,Hikaru,0
FabianoCaruana,Hikaru,0
Parhamov,Hikaru,0
dsquared97,Hikaru,0
nihalsarin,Hikaru,0
ViIIagra,Hikaru,0
DanielRensch,Hikaru,0
Oleksandr_Bortnyk,Hikaru,0
LouisGreene,Hikaru,0
valodia222,Hikaru,0
erichansen,Hikaru,0
elm2007,Hikaru,0
DragonB70,Hikaru,0
Mykola-Bortnyk,Hikaru,0
DrVelja,Hikaru,0
Zhigalko_Sergei,Hikaru,0
removsky,Hikaru,0
GHANDEEVAM2003,Hikaru,0
KhalilMousavi77,Hikaru,0
kiborg1987,Hikaru,0
GMWSO,Hikaru,0
GMharikrishna,Hikaru,0
schoolmeester,Hikaru,0
MatthewG-p4p,Hikaru,0
talentzeker,Hikaru,0
Blazinq,Hikaru,0
NikoTheodorou,Hikaru,0
sergiochess83,Hikaru,0
Multivitamin73,Hikaru,0
amintabatabaei,Hikaru,0
kleinebeer98,Hikaru,0
MinhGTrAn,Hikaru,0
TrimitziosP7,Hikaru,0
NTBT_DHS,Hikaru,0
Traxx,Hikaru,0
Bryakin_Mikhail,Hikaru,0
Polish_fighter3000,Hikaru,0
Indianlad,Hikaru,0
Sanan_Sjugirov,Hikaru,0
GMKrikor,Hikaru,0
manubibi,Hikaru,0
The_bird_of_peace,Hikaru,0
Eilyisum,Hikaru,0
Lukianoo,Hikaru,0
lachesisQ,Hikaru,0
alqudaimi,Hikaru,0
Boryboy,Hikaru,0
whatbecause,Hikaru,0
severomorskij,Hikaru,0
ChessBrah,Hikaru,0
MasterLeif,Hikaru,0
Genghis_K,Hikaru,0
samayraina,Hikaru,0
JSPrepz,Hikaru,0
jefferyx,Hikaru,0
G0dHimself,Hikaru,0
MF_OrestesHurtado,Hikaru,0
FairChess_on_YouTube,Hikaru,0
KhazarBabazada007,Hikaru,0
B10_Muy_Bien,Hikaru,0
DrTancredi,Hikaru,0
mishanick,Hikaru,0
ckgchess,Hikaru,0
Doudou_goodspeed,Hikaru,0
TLTLTLTLTLTL,Hikaru,0
Rikikits,Hikaru,0
GeorgMeier,Hikaru,0
CleverCrab,Hikaru,0
ram1zan,Hikaru,0
asms9699,Hikaru,0
OhanyanEminChess,Hikaru,0
